Ticker,Transaction Type,Number of Shares,Price Per Share,Transaction Date,Total Amount,Commission/Fees
AAPL,Buy,10,150.25,2023-01-15,1502.50,7.99
MSFT,Buy,5,280.75,2023-01-20,1403.75,7.99
GOOGL,Buy,2,2800.50,2023-02-05,5601.00,7.99
AMZN,Buy,8,135.80,2023-02-12,1086.40,7.99
TSLA,Buy,15,180.25,2023-03-01,2703.75,7.99
AAPL,Sell,5,175.50,2023-04-10,877.50,7.99
MSFT,Sell,2,310.25,2023-04-15,620.50,7.99
NVDA,Buy,12,220.75,2023-05-01,2649.00,7.99
META,Buy,7,320.50,2023-05-10,2243.50,7.99
NVDA,Sell,4,280.50,2023-06-15,1122.00,7.99 